label,text
0,The Amazon rainforest has long been recognized as a repository of ecological services not only for local tribes and communities  but also for the rest of the world. It is also the only rainforest that we have left in terms of size and diversity. But as forests burn and global warming worsens  the impact of Amazon deforestation continues to gradually undo the fragile ecological processes that have been refined over millions of years. Ironically  as rainforest continues to disappear  scientific work from the last two decades has shed light on the critical ties that link the health of rainforests to the rest of the world.  Filtering and reprocessing the worldâ€™s harmful carbon dioxide output Trees have hidden attributes that play a key role in reducing pollutant levels. Take carbon dioxide (CO2) for example  a gas emitted from both natural and human sources. Over the last 150 years  humans have been pumping massive amounts of CO2 into the air by burning fossil fuels  coal  oil and natural gas - this is a major driver for global climate change. Carbon dioxide in  oxygen out Under natural conditions  plants remove CO2 from the atmosphere and absorb it for photosynthesis  an energy-creating process that yields: Oxygen  which is released back into the air Carbon  which allows the plant to grow. So  without tropical rainforests the greenhouse effect would likely be even more pronounced  and climate change may possibly get even worse in the future
0,The Amazon is critical to our efforts to avoid a climate catastrophe. Water vapor released from the Amazon creates vast â€œflying riversâ€ in the atmosphere  which influence rainfall and thus agricultural production in central and southern South America. And the billions of tons of carbon stored in the Amazon rain forest is of global importance to slowing climate change. But the Amazon is threatened by rising deforestation. Unprecedented droughts are happening with growing frequency. Dry seasons are hotter and longer. Long dry spells wither crops  decimate fisheries  and lead to forest fires. This can result in significant shifts in the makeup of ecosystems and a loss of species. According to many notable scientists  including longtime friend of WWF Tom Lovejoy  the Amazon is close to a tipping point past which it will no longer be able to sustainably support itself. To ensure the Amazonâ€™s future  for its people and biodiversity  deforestation in the region should not exceed 20%  and it is already at 18%. Our vision is one of zero net deforestation in the Amazon to safeguard this globally important ecosystem. Each year  the Amazon loses thousands of square miles of forested area. Agricultural expansion  ranching  infrastructure projects  energy exploration  and illegal logging are to blame. WWF works with traders  processors  meat packers  retailers  restaurants  banks  investors  and other institutions to eliminate the loss of key Latin American ecosystems including the Amazon rainforest  the Cerrado Savannah  and the Chaco woodlands and grasslands of Argentina and Paraguay from global beef and soy supply chains. The work includes:
1,Amazon became the second trillion-dollar company by market cap on September 4  2018. As of July 2021  it holds third place behind Apple and Microsoft  boasting a $1.875 trillion market cap.15 Another milestone  in July 2020  the company crossed the $3 000 mark for its share price  which has been steadily increasing since. Amazon s founder and executive chair  Jeff Bezos  is frequently the wealthiest person in the world  depending on current market prices. The multi-year run for Amazon shares has been phenomenal. The company made its stock market debut in 1997  and $100 invested then would have turned into six figures. Amazon has significantly outperformed the S&P 500 over the last several decades  but it has been a rocky road at times. In particular  Amazon lost more than 90% of its value when the dotcom bubble crashed. Here  past returns are clearly not indicative of future results. Amazon s strong performance during the 2020 bear market is a sign that the company is maturing. The thousandfold return available to early investors in Amazon simply cannot be repeated. Without hyperinflation  a trillion-dollar company will never be worth a quadrillion dollars because that is more than the combined value of every stock market in the world.
0,In the 20th century  Brazilâ€™s rapidly growing population settled major areas of the Amazon Rainforest. The size of the Amazon forest shrank dramatically as a result of settlersâ€™ clearance of the land to obtain lumber and to create grazing pastures and farmland. Brazil holds approximately 60 percent of the Amazon basin within its borders  and some 1 583 000 square miles (4 100 000 square km) of this was covered by forests in 1970. The amount of forest cover declined to some 1 283 000 square miles (3 323 000 square km) by 2016  about 81 percent of the area that had been covered by forests in 1970. In the 1990s the Brazilian government and various international bodies began efforts to protect parts of the forest from human encroachment  exploitation  deforestation  and other forms of destruction. Although Brazilâ€™s Amazon continues to lose forest cover  the pace of this loss declined from roughly 0.4 percent per year during the 1980s and â€™90s to roughly 0.1â€“0.2 percent per year between 2008 and 2016. However  some 75 000 fires occurred in the Brazilian Amazon during the first half of 2019 (an increase of 85 percent over 2018)  largely due to encouragement from Brazilian Pres. Jair Bolsonaro  a strong proponent of tree clearing. In 2007 Ecuador initiated a unique plan to preserve a portion of the forest within its borders  which lies in YasunÃ­ National Park (established 1979)  one of the worldâ€™s most biodiverse regions: the Ecuadoran government agreed to forgo development of heavy oil deposits (worth an estimated $7.2 billion) beneath the YasunÃ­ rainforest if other countries and private donors contributed half of the depositsâ€™ value to a UN-administered trust fund for Ecuador. In 2013  however  Ecuador abandoned the plan  after only $6.5 million had been raised by the end of 2012. By 2016 the state oil company Petroecuador had begun to drill and extract petroleum from the park.
0,Amazon Rainforest  large tropical rainforest occupying the drainage basin of the Amazon River and its tributaries in northern South America and covering an area of 2 300 000 square miles (6 000 000 square km). Comprising about 40 percent of Brazilâ€™s total area  it is bounded by the Guiana Highlands to the north  the Andes Mountains to the west  the Brazilian central plateau to the south  and the Atlantic Ocean to the east. A brief treatment of the Amazon Rainforest follows. For full treatment  see South America: Amazon River basin. Amazonia is the largest river basin in the world  and its forest stretches from the Atlantic Ocean in the east to the tree line of the Andes in the west. The forest widens from a 200-mile (320-km) front along the Atlantic to a belt 1 200 miles (1 900 km) wide where the lowlands meet the Andean foothills. The immense extent and great continuity of this rainforest is a reflection of the high rainfall  high humidity  and monotonously high temperatures that prevail in the region. The Amazon Rainforest is the worldâ€™s richest and most-varied biological reservoir  containing several million species of insects  plants  birds  and other forms of life  many still unrecorded by science. The luxuriant vegetation encompasses a wide variety of trees  including many species of myrtle  laurel  palm  and acacia  as well as rosewood  Brazil nut  and rubber tree. Excellent timber is furnished by the mahogany and the Amazonian cedar. Major wildlife includes jaguar  manatee  tapir  red deer  capybara and many other types of rodents  and several types of monkeys.
0,ON THE SOUTHERN CREST of the unscathed Amazon rain forest  a storm inundates a wooden shack just off a sodden mud road. Inside  Antonio Bertola sits clutching a $1 beer under a painting of the Virgin Mary  his face ruddy and his clothes tatty from a lifetime of work on the land. The frontier town of Realidade is a mere speck on a changing map. To the north stretch hundreds of billions of trees and more than 1 million species never charted by man. To the south the muddy trail of human conquest reaches back for centuries. In a bittersweet tone of voice  Bertola recounts how his family of migrants had hungered for prosperity  security and  most of all  land to call their own. Five decades ago Brazil incentivized millions of its people to colonize the Amazon. Today their logging yards  cattle enclosures and soy farms sit on the fringes of a vanishing forest. Powered by murky sources of capital and rising demand for beef  a violent and corrupt frontier is now pushing into indigenous land  national parks and one of the most preserved parts of the jungle. Brazilâ€™s new President  Jair Bolsonaro  an unapologetic cheerleader for the exploitation of the Amazon  has the colonistsâ€™ backs  heâ€™s sacked key environmental officials and slashed enforcement. His message: the Amazon is open for business. Since his inauguration in January  the rate of deforestation has soared by as much as 92%  according to satellite imaging. As human activity in the Amazon ramps up  its future has never been less clear. Scientists warn that decades of human activity and a changing climate has brought the jungle near a â€œtipping point.â€ The rain forest is so-called because itâ€™s such a wet place  where the trees pull up water from the earth that then gathers in the atmosphere to become rain. That balance is upended by deforestation  forest fires and global temperature rises. Experts warn that soon the water cycle will become irreversibly broken  locking in a trend of declining rainfall and longer dry seasons that began decades ago. At least half of the shrinking forest will give way to savanna. With as much as 17% of the forest lost already  scientists believe that the tipping point will be reached at 20% to 25% of deforestation even if climate change is tamed. If  as predicted  global temperatures rise by 4Â°C  much of the central  eastern and southern Amazon will certainly become barren scrubland.
1,Amazon has a growing role in the U.S. economy that extends far beyond its retail business  according to a new report.  Behind the packages on the doorstep  and behind the inviting interface and seamless service that has consistently put the company at the top of corporate reputation rankings  Amazon has quietly positioned itself at the center of a growing share of our daily activities and transactions   extending its tentacles across our economy  and with it  our lives   says the report by the Institute for Local Self-Reliance. In all  millions of Amazon-branded devices were sold this weekend  although the company doesn t release specific numbers and did not respond to a request for comment. Some 5.1 million Amazon Echo devices have been sold since its introduction in late 2014  according to analysis by Consumer Intelligence Research Partners (CIRP). The group surveyed Amazon customer and released its report just one week before Black Friday  when millions more devices were sold-through to consumers.  Echo is the flagship product - a Bluetooth speaker with a voice-controlled artificial intelligence named Alexa. Amazon Prime members can ask Alexa to control many smart home devices  retrieve information and play music. Of course  Alexa will also order from Amazon  although this is the least used feature.
1,But Amazon is doing everything it can to change this. Echo and the Amazon family of products  including Kindle readers  are designed to get Echo owners to buy more goods. Amazon s strategy has been to grow its Prime membership through exclusive offers and better pricing. The more consumers are drawn into the Amazon ecosystem  the more likely they are to exclusively use the company for pretty much everything they can. Shoppers are already more likely to search Amazon for product information and reviews than even Google. Once they become accustomed to going first to Amazon  they cease to even compare prices  sometimes paying more for a product thanks to the convenience and perceived value of Prime. it s a genius move by Amazon founder and CEO Jeff Bezos  but chilling when you stop to think about just how much control that gives the company. Walmart  though  is positioning itself for an epic battle with Amazon and its recent $3 billion purchase of Jet.com will help it better compete with Amazon s marketplace and technology platforms while leveraging the a vast distribution network that includes more than 6 000 stores. ILSR contends that Amazon s growing dominance poses a threat to the economy through increased monopolization in industry and declining property tax revenue. There s also the rise of low-paid jobs in Amazon warehouses and fewer small businesses that make for vibrant communities.
1,Amazon previously disclosed that 200 million people pay for Prime memberships  and subscription revenue for that service and others reached almost $7.6 billion in the quarter. In addition to paying Amazon $119 a year or $12.99 a month for free shipping and other perks  households with Prime memberships typically spend $3 000 a year on Amazon  more than twice what households without the membership spend  according to Morgan Stanley. The high volume of orders during the pandemic has let Amazon operate more efficiently. It has run its warehouses closer to full capacity  and delivery drivers have made more stops on their routes  with less time driving between customers. The number of items Amazon sold grew 44 percent  but the cost to fulfill those orders was up only 31 percent. The pandemicâ€™s shift to remote computing was also a boon to Amazonâ€™s profitable cloud computing business  Amazon Web Services  which had $13.5 billion in sales. â€œWe certainly had strong volumes really across all of our businesses â€ Amazonâ€™s finance chief  Brian Olsavsky  said on a call with reporters. He said the company is investing heavily in future growth. It spent almost $50 billion in capital expenditures in the last 12 months  largely on building out its logistics operations and data centers  up 80 percent over a year earlier. Mr. Olsavsky said he expected â€œanother strong yearâ€ for capital spending. â€œIn just 15 years  AWS has become a $54 billion annual sales run rate business competing against the worldâ€™s largest technology companies  and its growth is accelerating â€ Jeff Bezos  Amazonâ€™s founder and chief executive  said in a statement. Mr. Bezos plans to step down as chief executive later this year and transition into the role of executive chairman. Amazonâ€™s total work force dipped slightly between December and the end of March  falling by 27 000 to 1 271 000 employees globally. That was still 51 percent more workers than the same period last year. On Wednesday  Amazon announced it would increase pay for half a million workers and was hiring â€œtens of thousandsâ€ more
0,The Amazon rainforest  alternatively  the Amazon jungle[a] or Amazonia  is a moist broadleaf tropical rainforest in the Amazon biome that covers most of the Amazon basin of South America. This basin encompasses 7 000 000 km2 (2 700 000 sq mi)  of which 5 500 000 km2 (2 100 000 sq mi) are covered by the rainforest. This region includes territory belonging to nine nations and 3 344 formally acknowledged indigenous territories. The majority of the forest is contained within Brazil  with 60% of the rainforest  followed by Peru with 13%  Colombia with 10%  and with minor amounts in Bolivia  Ecuador  French Guiana  Guyana  Suriname  and Venezuela. Four nations have  Amazonas  as the name of one of their first-level administrative regions  and France uses the name  Guiana Amazonian Park  for its rainforest protected area. The Amazon represents over half of the planet s remaining rainforests and comprises the largest and most biodiverse tract of tropical rainforest in the world  with an estimated 390 billion individual trees divided into 16 000 species. More than 30 million people of 350 different ethnic groups live in the Amazon  which are subdivided into 9 different national political systems and 3 344 formally acknowledged indigenous territories. Indigenous peoples make up 9% of the total population with 60 of the groups remaining largely isolated
